city,year,LST_Celsius,NDVI,image_count,AQI_mean,AQI_days_with_data,population,growth_rate_pct,LST_score,NDVI_score,AQI_score,livability_score
Hyderabad,2015.0,36.64,0.149,15,143.42,272.0,8866776,3.42,0.25276938569989915,0.7185929648241205,0.6716703521006975,0.5476775675415724
Hyderabad,2016.0,39.15,0.1366,12,124.24,337.0,9170459,3.42,0.0,0.6295764536970567,0.7532318421500255,0.46093609861569407
Hyderabad,2017.0,37.02,0.1443,15,112.33,358.0,9484544,3.42,0.21450151057401767,0.6848528356066045,0.8038782105800306,0.5677441855868842
Hyderabad,2018.0,37.43,0.1461,16,97.56,365.0,9809385,3.42,0.1732124874118831,0.6977745872218234,0.8666865113114475,0.5792245286483847
Hyderabad,2019.0,36.2,0.1413,12,93.98,365.0,10145352,3.42,0.2970795568982876,0.6633165829145728,0.8819101888076203,0.6141021095401603
Hyderabad,2020.0,34.41,0.1601,13,78.17,183.0,10492826,3.42,0.4773413897280969,0.7982770997846373,0.9491410103759143,0.7415864999628828
Hyderabad,2021.0,38.49,0.1498,11,87.93,365.0,10852201,3.42,0.06646525679758275,0.7243359655419955,0.9076373532913761,0.5661461918769848
Hyderabad,2022.0,36.55,0.1407,12,87.86,365.0,11223884,3.42,0.26183282980866074,0.6590093323761664,0.9079350229630889,0.6095923950493054
Hyderabad,2023.0,37.53,0.1488,13,84.29,365.0,11608298,3.42,0.16314199395770368,0.7171572146446518,0.9231161762204456,0.6011384616076003
Delhi,2015.0,34.17,0.1404,30,297.02,365.0,17988144,2.42,0.5015105740181266,0.6568557071069634,0.018498043885014526,0.3922881083367014
Delhi,2016.0,32.17,0.1366,23,301.37,365.0,18422757,2.42,0.7029204431017118,0.6295764536970567,0.0,0.44416563226625616
Delhi,2017.0,33.85,0.1466,30,256.73,356.0,18867871,2.42,0.5337361530715002,0.7013639626704954,0.1898282020751828,0.4749761059390594
Delhi,2018.0,33.15,0.1428,27,249.16,365.0,19323739,2.42,0.6042296072507554,0.6740847092605887,0.22201905085898976,0.500111122456778
Delhi,2019.0,37.45,0.1473,22,232.1,365.0,19790622,2.42,0.17119838872104687,0.7063890882986359,0.2945654022792993,0.39071762643299407
Delhi,2020.0,34.55,0.1609,27,181.67,183.0,20268785,2.42,0.4632426988922459,0.8040201005025125,0.5090151386290186,0.5920926460079258
Delhi,2021.0,30.83,0.1528,25,208.58,365.0,20758500,2.42,0.837865055387714,0.7458722182340272,0.3945824119748257,0.6594398951988557
Delhi,2022.0,34.18,0.161,33,209.19,365.0,21260049,2.42,0.5005035246727089,0.8047379755922469,0.39198843340704204,0.5657433112239992
Delhi,2023.0,32.64,0.1738,25,203.63,365.0,21773714,2.42,0.6555891238670692,0.8966259870782484,0.41563191018880763,0.6559490070447085
Mumbai,2015.0,31.37,0.0639,17,110.22,118.0,19274257,1.17,0.7834843907351459,0.10768126346015792,0.8128508249702331,0.5680054930551789
Mumbai,2016.0,31.06,0.0522,15,93.84,314.0,19500585,1.17,0.8147029204431018,0.023689877961234774,0.8825055281510461,0.5736327755184609
Mumbai,2017.0,32.72,0.0546,17,107.46,347.0,19729570,1.17,0.6475327291037261,0.040918880114860036,0.8245875148834836,0.5043463747006899
Mumbai,2018.0,33.51,0.0548,13,102.61,227.0,19961244,1.17,0.5679758308157101,0.0423546302943288,0.8452117707093043,0.48518074393978106
Mumbai,2019.0,32.73,0.0489,15,107.95,365.0,20195639,1.17,0.6465256797583083,0.0,0.8225038271814934,0.4896765023132672
Mumbai,2020.0,32.38,0.0578,16,103.57,183.0,20432786,1.17,0.6817724068479352,0.06389088298636035,0.8411294437829563,0.5289309112057506
Mumbai,2021.0,31.85,0.0602,14,112.18,365.0,20672718,1.17,0.7351460221550854,0.08111988513998562,0.8045160741622724,0.5402606604857811
Mumbai,2022.0,32.16,0.0555,16,120.52,365.0,20915467,1.17,0.7039274924471302,0.0473797559224695,0.7690508589896241,0.5067860357864079
Mumbai,2023.0,33.23,0.0636,18,119.82,364.0,21161066,1.17,0.5961732124874121,0.1055276381909548,0.7720275557067529,0.49124280212837323
